country,latitude,longitude,crop,planting_start_day,planting_end_day,harvest_start_day,harvest_end_day,planting_start_month,planting_end_month,harvest_start_month,harvest_end_month
India,25.75000063578288,80.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,80.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,81.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,81.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,82.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,82.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,83.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,83.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,25.75000063578288,84.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,80.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,80.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,81.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,81.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,82.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,82.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,83.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.25000063578288,83.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,80.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,80.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,81.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,81.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
