country,crop,price_element,year,month,unit,price,flag,source,source_url
India,Cauliflowers and broccoli,,2024.0,Annual value,,139.94,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cauliflowers and broccoli,,2025.0,Annual value,,148.55,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cereals, primary",,2020.0,Annual value,,112.36,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cereals, primary",,2021.0,Annual value,,134.89,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cereals, primary",,2022.0,Annual value,,146.66,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cereals, primary",,2023.0,Annual value,,150.47,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cereals, primary",,2024.0,Annual value,,155.33,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cereals, primary",,2025.0,Annual value,,160.11,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cherries,,2020.0,Annual value,,110.62,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cherries,,2021.0,Annual value,,132.31,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cherries,,2022.0,Annual value,,139.12,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cherries,,2023.0,Annual value,,143.07,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cherries,,2024.0,Annual value,,152.53,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cherries,,2025.0,Annual value,,162.0,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chick peas, dry",,2020.0,Annual value,,124.4,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chick peas, dry",,2021.0,Annual value,,143.67,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chick peas, dry",,2022.0,Annual value,,145.23,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chick peas, dry",,2023.0,Annual value,,142.03,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chick peas, dry",,2024.0,Annual value,,155.39,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chick peas, dry",,2025.0,Annual value,,168.76,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,2020.0,Annual value,,128.2,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,2021.0,Annual value,,135.83,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,2022.0,Annual value,,139.25,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,2023.0,Annual value,,141.03,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,2024.0,Annual value,,153.38,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,2025.0,Annual value,,160.5,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,2020.0,Annual value,,119.85,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,2021.0,Annual value,,126.69,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,2022.0,Annual value,,129.59,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,2023.0,Annual value,,129.54,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,2024.0,Annual value,,142.02,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,2025.0,Annual value,,147.91,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Citrus Fruit, Total",,2020.0,Annual value,,106.37,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Citrus Fruit, Total",,2021.0,Annual value,,129.68,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Citrus Fruit, Total",,2022.0,Annual value,,136.78,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Citrus Fruit, Total",,2023.0,Annual value,,140.51,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Citrus Fruit, Total",,2024.0,Annual value,,149.48,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Citrus Fruit, Total",,2025.0,Annual value,,158.3,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coarse Grain, Total",,2020.0,Annual value,,110.77,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coarse Grain, Total",,2021.0,Annual value,,126.82,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coarse Grain, Total",,2022.0,Annual value,,134.27,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coarse Grain, Total",,2023.0,Annual value,,137.1,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coarse Grain, Total",,2024.0,Annual value,,146.38,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coarse Grain, Total",,2025.0,Annual value,,154.81,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cocoa beans,,2020.0,Annual value,,125.94,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cocoa beans,,2021.0,Annual value,,136.59,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cocoa beans,,2022.0,Annual value,,142.03,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cocoa beans,,2023.0,Annual value,,145.98,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cocoa beans,,2024.0,Annual value,,148.68,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cocoa beans,,2025.0,Annual value,,151.39,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coconuts, in shell",,2020.0,Annual value,,144.34,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coconuts, in shell",,2021.0,Annual value,,141.5,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coconuts, in shell",,2022.0,Annual value,,139.76,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coconuts, in shell",,2023.0,Annual value,,139.62,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coconuts, in shell",,2024.0,Annual value,,152.19,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coconuts, in shell",,2025.0,Annual value,,164.75,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coffee, green",,2020.0,Annual value,,122.53,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coffee, green",,2021.0,Annual value,,136.56,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coffee, green",,2022.0,Annual value,,144.13,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coffee, green",,2023.0,Annual value,,145.5,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coffee, green",,2024.0,Annual value,,157.16,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Coffee, green",,2025.0,Annual value,,166.16,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cotton lint, ginned",,2020.0,Annual value,,102.35,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cotton lint, ginned",,2021.0,Annual value,,111.26,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cotton lint, ginned",,2022.0,Annual value,,116.35,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cotton lint, ginned",,2023.0,Annual value,,118.01,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cotton lint, ginned",,2024.0,Annual value,,131.0,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Cotton lint, ginned",,2025.0,Annual value,,139.72,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cotton seed,,2020.0,Annual value,,115.05,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cotton seed,,2021.0,Annual value,,122.12,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cotton seed,,2022.0,Annual value,,124.85,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cotton seed,,2023.0,Annual value,,124.01,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cotton seed,,2024.0,Annual value,,136.14,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cotton seed,,2025.0,Annual value,,142.74,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cucumbers and gherkins,,2020.0,Annual value,,125.47,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cucumbers and gherkins,,2021.0,Annual value,,138.36,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cucumbers and gherkins,,2022.0,Annual value,,144.55,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cucumbers and gherkins,,2023.0,Annual value,,145.58,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cucumbers and gherkins,,2024.0,Annual value,,155.55,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Cucumbers and gherkins,,2025.0,Annual value,,163.16,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggplants (aubergines),,2020.0,Annual value,,123.35,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggplants (aubergines),,2021.0,Annual value,,136.69,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggplants (aubergines),,2022.0,Annual value,,143.15,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggplants (aubergines),,2023.0,Annual value,,144.34,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggplants (aubergines),,2024.0,Annual value,,153.35,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggplants (aubergines),,2025.0,Annual value,,160.59,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggs Primary,,2020.0,Annual value,,112.82,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggs Primary,,2021.0,Annual value,,130.38,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggs Primary,,2022.0,Annual value,,139.9,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggs Primary,,2023.0,Annual value,,142.9,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggs Primary,,2024.0,Annual value,,152.22,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Eggs Primary,,2025.0,Annual value,,161.53,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fibre Crops Primary,,2020.0,Annual value,,112.82,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fibre Crops Primary,,2021.0,Annual value,,122.4,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fibre Crops Primary,,2022.0,Annual value,,127.44,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fibre Crops Primary,,2023.0,Annual value,,129.38,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fibre Crops Primary,,2024.0,Annual value,,142.02,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
